instance,cad195,int118,int120,int121,int126
6d7c0deeffe06978367a90a10f608d59-SGI_30_60_28_30_1-dir.shuffled-as.sat05-438,450,582.34,156.11,527.04,540.3
6f4df706246d29bf38adadd274fadab3-SGI_30_60_19_60_6-dir.shuffled-as.sat03-112,1551,2065.65,2065.86,1862.3,1649.03
71270454196ae092b28d0a74300a85e1-Schur_161_5_d40,3435,3351.44,3306.14,3203.08,3122.32
7143d6509c168869ea1d86638c9ca262-rphp4_095_shuffled,1555,1701.69,1538.95,1490.11,1469.05
7399b86263f8b97f37480968786d1a9a-aloul-chnl11-13,2750,3869.47,3691.8,4204.37,3709.37
79b8367e104560d2446fc9a5e2b86af2-MUS-v320-1,5100,5100,5100,5100,5100
7ae7a8ac37541f83c41cde6900f34412-sha1r17m146ABCD,1960,2889.12,3994.34,2316.75,62.85
7b40e39148de4d5f8d9384d6937c287e-stable-400-0.1-12-98765432140012,899,1345.54,2814.59,3230.64,200.72
7fc117c1ce7ec6ebf3a770f382a5a29a-SGI_30_70_18_80_10-dir.shuffled-as.sat03-140,4898,3232.49,3341.13,2969.38,3411.23
805a742eb8b4e0df3561ca8e0670670b-homer20.shuffled,5100,5100,5100,5100,5100
81d2158d506ea1049708837460b9387e-WS_400_24_70_10.apx_2_DC-AD,1586,1801.99,1771.02,1830.95,1620.98
822ac2997c9e0f0def5971dabcdb0dd9-mchess_18,930,3651.87,854.06,1204.64,2144.1
8270ae50e6f2881136868db6d3a88eee-WS_400_24_90_10.apx_2_DC-AD,4471,3485.43,3975.69,4137.94,4029.71
8924fd8ff845dfbe1e0970f3476328d7-hwb-n28-01-S136611085.shuffled-as.sat05-491,1365,1818.75,1835.22,1416.91,1610.39
8a6e8365555580ed3e0ccea9998b5fa6-SGI_30_70_26_40_6-dir.shuffled-as.sat03-163,4415,3483.93,3677.89,3317.49,4127.97
8c70a8d5d537e2c49a58d3c3787ca602-w15,2585,2158.01,2363.86,2086.05,2090.47
8db70165266190f3b072fdbb7e9b53e3-sat_prob_83,1714,2705.02,2935.13,3375.93,2456.78
8dd3ee48f7d6459e0c84ea6bd56330d8-rphp5_040_shuffled,1417,1656.41,1703.14,1561.85,1510.62
8e883992b13498772ed8af6df10e557c-ctl_3082_415_unsat_pre,2412,2487,2545.36,2523.01,2257.42
901dfaac739b6cb18711faac9f5b909d-queen12_12.col.12,1401,545.36,631.69,746.79,556.76
953e9ff735bdf5ada27b0ab2b908b6af-WS_400_24_70_10.apx_1_DC-ST,1630,1750.56,1762.18,1618.82,1595.88
99718c1729a8de3347a9946f1836421d-bivium-39-200-0s0-0xdcfb6ab71951500b8e460045bd45afee15c87e08b0072eb174-43,2025,1758.01,1464.37,1887.55,2896.44
9c82b5ba37a92ea9156ded907b1ab588-VanDerWaerden_pd_2-3-23_507,5100,5100,4828.02,4963.18,4866.28
9cf87c9798f4ffe885f2de05503d28fc-SGI_30_70_20_70_1-dir.shuffled-as.sat03-146,4741,3126.81,3362.34,3158.92,3700.45
a0a54d2adcf2360e6f19a8d12902aed4-rbsat-v945c61409g6,5100,5100,5069.91,5100,5100
a196b503607952e2f1d67438d8ccc86d-VanDerWaerden_pd_2-3-24_567,11,3926.2,573.92,4252.21,161.91
a48bfbd6ad8a8c4b9475291fdc540f1b-mp1-rubikcube401,2596,2536.95,2564.04,2395.03,1994.11
a88dcbc4b23784eaeb4afdde82d4da67-MUS-v310-4-sc2013,4058,2836.01,2633.44,2726.43,2976.23
abe802007c9aed4eab2e758fb130174b-mp1-klieber2017s-1600-022-eq,978,1202.29,1153.27,1119.26,1025.54
af6db1b9c5e0a3f02e8986878dda4761-MUS-v300-2,3675,4263.48,4182.14,4335.54,3388.55
b1f69df5a20cab321a8417503d83f599-bivium-39-200-0s0-0x1b770901581bbb2863c83835583d7ce4e1fafd907076320542-34,2590,2863.07,2616.09,2577.31,2846.8
b213f197a5300b35a47c01771b40f8bb-frb50-23-2.used-as.sat04-886,5100,5100,5100,5100,5100
b33252a0ae12bbdb10449932540776dd-pmg-11-UNSAT.shuffled-as.sat05-3939,3385,3648.3,4168.06,3534.06,3413.9
b4d2dc29c3d639b52b67d2b9655f3633-mp1-rubikcube301,4062,3641.56,3538.53,3801.58,3141.5
b5c3e33e90f4c95502754c7e2e92a6d2-randomG-B-Mix-n16-d05,2143,2224.72,2872.18,2365.81,1952.71
b7df8585b4695869fa6f857adb940897-mod4block_2vars_8gates_u2_autoenc,3384,2642.6,3075.56,2908.26,3732.46
b8322792935eab432e7696e2ca298ff3-gensys-ukn008.shuffled-as.sat05-3351,1769,3402.59,1684.34,3021.61,2380.05
b862f2dddbc93dabf6a3a6eeca22d468-VanDerWaerden_pd_2-3-22_464,3974,5100,4816,4448.22,4476.7
b870acb8393c23186e03496a68ef5f24-dimacs,3035,3372.45,4127.3,3475.17,3447.95
bc895df6a129123e196ab5912ea44d02-eq.atree.braun.12.unsat,5100,3412.8,3885.74,4439.1,3173.9
c320454b0750a2f351ce1257db0b51db-SAT_instance_N=31,4522,2894.01,1266.6,4317.68,5006.74
ca3cf0bdc9f9a7d5f9024c8df7e04756-SGI_30_60_23_50_8-dir.shuffled-as.sat03-116,5100,5049.18,3626.55,4469.39,5100
cf535843b8d62df0c46404c9d37464ee-Schur_160_5_d35,5100,5100,5100,5100,5100
cf5cb637eb7138ad665cdf9269239d83-SGI_30_70_23_60_1-dir.shuffled-as.sat03-158,5100,4201.32,4565.42,4530.58,4985.55
d017cb009e488657a65b9ca3bc76db8f-fphp-012-011.shuffled-as.sat05-1228,2089,2612.39,2298.5,2337.35,1916.52
d27c2011e47a5da3496ee4ae881cf7d3-sha1r17m149ABCD,4119,1051.73,1375.77,1468.49,1501.54
d4acb8ca0d73ed82d6ff7f11fcccfa0c-unsat-set-a-clqcolor-12-07-08.sat05-1251.reshuffled-07,5006,5100,5100,5100,5100
d4d2f27d791731f2c90da10e7b5797d9-rbsat-v760c43649gyes5,355,3608.6,1061.89,5100,126.42
dd13d3c1ff64d2149723f8200ca49e16-fixedbandwidth-eq-34_shuffled,3974,5100,3542.32,4783.54,4271.01
df03334f1c8f744c7f08414d8c955a36-gensys-ukn007.shuffled-as.sat05-3350,1663,5100,2933.9,4560.27,2831.25
df13625b6e8eb436cd884f5593c7216d-rphp5_035_shuffled,742,547.17,567.86,612.9,539.89
e273e0bf8ff1fa2a797b41f9a5f4beb5-fixedbandwidth-eq-35_shuffled,1280,1747.45,1366.69,1339.82,1412.59
eacc395ad0ff3a78fdc9e2a6accaefe7-rbsat-v760c43649gyes10,923,209.87,2147,96.09,5100
eb8a05f11e4720d801e213c3648f8bba-ctl_3791_556_unsat_pre,1921,1875.44,2339.18,1928.51,1880.1
ee4fb1a1a04befd91146ee6c8f06541c-rphp4_085_shuffled,801,1015.54,1027.93,932.69,935
eefcd0e28a0747366b3480cda341784f-MUS-v310-3,5100,5100,5100,5100,5100
efed5fc1cfe3f6c3627711513330aa77-homer16.shuffled,2735,4057.36,4268.29,3945.12,3539.05
f0e964156d4d5ce17ecc9fa95b89c3d4-bivium-40-200-0s0-0x66b619d7b8e447710bf43b794ded6cfaf1e75bb8a947e14c78-50,3778,1443.63,1486.93,1432.74,1480.53
f24dbbdcac17bcbaeb187c03e11bdf49-bivium-39-200-0s0-0x28df9231b320bd56dfb68bfc7c3f0ca20dbae6b0eba535ad91-98,1588,1933.18,1603.41,2158.79,2073.01
f35ed23733431177436a1e7797c07dfe-SCPC-900-31,2293,621.42,114.96,993.64,206.94
f3f6b1bdf843e3f2df370189b5fccad7-sdiv17prop,2762,2329.77,2160.36,2314.97,2514.99
f7c410dd8317053fb1cfe93beb092d34-SGI_30_70_28_50_1-dir.shuffled-as.sat03-173,5100,5100,5100,5100,5100
faea4b579b0010b32f001ac4b5b9415a-rphp4_090_shuffled,984,1287.54,1295.65,1181.46,1156.41
fb852d4b14865a562c1a38a77c8517d1-sted6_0x0-135,4827,5100,159.09,5100,5100
ffab5112bbf8e8831bc954e9211a6b27-ablmulub8x16o,2888,3765.86,4261.81,3798.77,3655.29
